dateTime,value,date
01:08:30,1,2023-04-21
01:09:30,1,2023-04-21
01:10:30,1,2023-04-21
01:11:30,1,2023-04-21
01:12:30,1,2023-04-21
01:13:30,1,2023-04-21
01:14:30,1,2023-04-21
01:15:30,1,2023-04-21
01:16:30,1,2023-04-21
01:17:30,1,2023-04-21
01:18:30,1,2023-04-21
01:19:30,1,2023-04-21
01:20:30,1,2023-04-21
01:21:30,1,2023-04-21
01:22:30,1,2023-04-21
01:23:30,1,2023-04-21
01:24:30,1,2023-04-21
01:25:30,1,2023-04-21
01:26:30,1,2023-04-21
01:27:30,1,2023-04-21
01:28:30,1,2023-04-21
01:29:30,1,2023-04-21
01:30:30,1,2023-04-21
01:31:30,1,2023-04-21
01:32:30,1,2023-04-21
01:33:30,1,2023-04-21
01:34:30,1,2023-04-21
01:35:30,1,2023-04-21
01:36:30,1,2023-04-21
01:37:30,1,2023-04-21
01:38:30,1,2023-04-21
01:39:30,1,2023-04-21
01:40:30,1,2023-04-21
01:41:30,1,2023-04-21
01:42:30,1,2023-04-21
01:43:30,1,2023-04-21
01:44:30,1,2023-04-21
01:45:30,1,2023-04-21
01:46:30,1,2023-04-21
01:47:30,1,2023-04-21
01:48:30,1,2023-04-21
01:49:30,1,2023-04-21
01:50:30,1,2023-04-21
01:51:30,1,2023-04-21
01:52:30,1,2023-04-21
01:53:30,1,2023-04-21
01:54:30,1,2023-04-21
01:55:30,1,2023-04-21
01:56:30,1,2023-04-21
01:57:30,1,2023-04-21
01:58:30,1,2023-04-21
01:59:30,1,2023-04-21
02:00:30,1,2023-04-21
02:01:30,1,2023-04-21
02:02:30,1,2023-04-21
02:03:30,1,2023-04-21
02:04:30,1,2023-04-21
02:05:30,1,2023-04-21
02:06:30,1,2023-04-21
02:07:30,1,2023-04-21
02:08:30,1,2023-04-21
02:09:30,1,2023-04-21
02:10:30,1,2023-04-21
